18m,0.00%,46,12m,0.00%,68
18m,0.45%,46,12m,0.45%,68
18m,0.00%,46,12m,0.00%,68
19m,0.69%,46,13m,0.69%,68
19m,0.43%,45,13m,0.42%,67
19m,0.00%,45,13m,0.00%,67
19m,0.88%,45,13m,1.78%,67
20m,1.44%,45,13m,0.00%,67
TIME:22.6877830029,CODE:6
STOP
20m,0.00%,46,14m,0.43%,68
21m,0.42%,45,15m,0.00%,67
21m,0.00%,45,15m,0.78%,67
21m,0.47%,45,15m,0.47%,67
21m,0.00%,45,15m,0.81%,67
21m,0.92%,45,15m,0.00%,67
22m,0.00%,44,15m,0.73%,66
22m,0.45%,44,15m,0.00%,66
22m,0.00%,44,16m,0.73%,66
22m,0.81%,44,16m,0.00%,66
TIME:19.7589211464,CODE:7
STOP
TIME:6.50894093513,CODE:8
STOP
TIME:7.23749113083,CODE:9
STOP
24m,0.00%,47,18m,0.00%,69
24m,0.41%,47,18m,0.40%,69
8m,1.68%,47,18m,0.00%,69
8m,0.00%,47,18m,0.44%,69
8m,0.77%,47,18m,0.00%,69
8m,0.00%,47,19m,0.81%,69
9m,0.44%,47,19m,0.45%,69
9m,0.00%,49,19m,0.79%,69
9m,0.43%,46,19m,0.00%,68
9m,0.77%,46,19m,0.75%,68
9m,0.00%,46,19m,0.00%,68
10m,1.75%,46,20m,0.89%,68
TIME:22.3755459785,CODE:1
STOP
10m,0.00%,46,20m,0.00%,69
11m,0.40%,46,21m,0.39%,69
11m,0.00%,46,21m,0.00%,69
11m,0.47%,46,21m,0.47%,69
11m,0.00%,47,21m,0.00%,69
11m,0.45%,47,21m,0.45%,69
11m,0.69%,47,21m,0.00%,69
12m,0.85%,49,22m,0.83%,69
12m,0.45%,47,22m,0.45%,69
12m,0.00%,47,22m,0.74%,69
12m,0.82%,47,22m,0.00%,69
12m,0.00%,47,22m,0.89%,69
13m,0.91%,47,22m,0.00%,69
TIME:22.7260560989,CODE:2
STOP
TIME:0.630422115326,CODE:3
STOP
TIME:0.55109000206,CODE:4
STOP
14m,0.00%,46,7m,0.00%,68
14m,0.38%,46,7m,0.77%,68
14m,0.00%,46,7m,0.00%,68
14m,0.43%,46,7m,0.43%,68
14m,0.82%,46,8m,0.00%,68
15m,0.43%,46,8m,0.43%,68
15m,0.00%,45,8m,0.00%,67
15m,0.45%,45,8m,0.45%,67
15m,0.69%,45,8m,0.00%,67
15m,0.00%,45,8m,1.49%,67
